日,単語,意味,例文（英語）,例文（日本語訳）
183,submit,提出する／服従する,Don’t forget to submit your application by Friday.,金曜日までに申請書を提出するのを忘れないでください。
184,substitute,代わりに使う／代用品,You can substitute honey for sugar.,砂糖の代わりにハチミツを使えます。
185,sufficient,十分な／足りている,Do you have sufficient information?,十分な情報はありますか？
186,tension,緊張／張り詰めた状態,There was a lot of tension in the room.,部屋の中には緊張が漂っていた。
187,terminate,終了させる／打ち切る,The contract was terminated early.,契約は早期に打ち切られた。
188,transfer,移す／転送する,He was transferred to the Tokyo office.,彼は東京支社に異動した。
189,transition,移行／変化,The country is in a period of transition.,国は移行期にある。
190,trend,傾向／流行,There is a trend toward remote work.,リモートワークの傾向がある。
191,undergo,経験する／受ける,He underwent surgery last month.,彼は先月手術を受けた。
192,unify,統一する／一体化する,The leader tried to unify the country.,指導者は国を統一しようとした。
193,utilize,活用する／使う,We should utilize our resources efficiently.,私たちは資源を効率的に活用すべきだ。
194,violate,違反する／侵害する,He violated the terms of the contract.,彼は契約条件に違反した。
195,accommodate,適応させる／収容する,The hotel can accommodate 500 guests.,そのホテルは500人を収容できる。
196,assure,保証する／安心させる,I assure you everything is under control.,すべてうまくいっていると保証します。
197,attain,達成する／到達する,She attained her goals through hard work.,彼女は努力によって目標を達成した。
198,consent,同意する／承諾する,He gave his consent to the surgery.,彼は手術に同意した。
199,convert,変える／転換する,They converted the warehouse into an office.,彼らは倉庫をオフィスに改装した。
200,coordinate,調整する／連携させる,The departments coordinated their efforts.,部門同士が努力を調整した。
201,differentiate,区別する／差別化する,It's important to differentiate between facts and opinions.,事実と意見を区別することが大切だ。
202,distribute,配る／分配する,Food was distributed to the refugees.,食料が難民に配られた。
203,enforce,施行する／強制する,The government will enforce the new regulations next month.,政府は来月から新しい規制を施行する予定だ。
204,exhibit,展示する／示す,The museum is exhibiting ancient artifacts.,博物館は古代の遺物を展示している。
205,exploit,活用する／搾取する,They exploit natural resources for profit.,彼らは利益のために自然資源を利用している。
206,highlight,強調する／目立たせる,The report highlights the importance of early detection.,その報告書は早期発見の重要性を強調している。
207,motivate,動機づける／やる気にさせる,Good leaders motivate their team effectively.,優れたリーダーは効果的にチームをやる気にさせる。
208,obtain,得る／手に入れる,She obtained a visa to study abroad.,彼女は留学のためのビザを取得した。
209,preserve,保護する／保存する,We must preserve our cultural heritage.,文化遺産を守らなければならない。
210,proceed,続ける／進む,Let’s proceed with the next topic.,次のトピックに進みましょう。
211,quote,引用する／示す,She quoted a famous author in her essay.,彼女はエッセイで有名な作家を引用した。
212,refer,言及する／参照する,He referred to the manual for instructions.,彼は説明書を参照した。
213,tackle,取り組む／立ち向かう,We must tackle climate change seriously.,気候変動に真剣に取り組まなければならない。
214,acquire,習得する／獲得する,Children acquire language quickly.,子どもは言語を素早く習得する。
215,allocate,割り当てる／配分する,The manager allocated tasks to each team member.,マネージャーは各メンバーにタスクを割り当てた。
216,anticipate,予期する／期待する,We anticipate a rise in demand.,需要の増加を予期している。
217,assess,評価する／査定する,The teacher assessed the students’ progress.,教師は生徒の進歩を評価した。
218,assume,仮定する／引き受ける,Don’t assume he’s guilty without evidence.,証拠なしで彼が有罪だと決めつけてはいけない。
219,collaborate,協力する／共同で行う,The two companies collaborated on the project.,その2社はプロジェクトで協力した。
220,compensate,補償する／埋め合わせる,The company compensated him for the damage.,会社は彼に損害の補償をした。
221,conduct,実施する／行う,The scientist conducted an experiment.,科学者は実験を行った。
222,confirm,確認する／確証する,Can you confirm your reservation?,予約を確認していただけますか？
223,confront,直面する／対立する,She had to confront her fears.,彼女は自分の恐怖に立ち向かわなければならなかった。
224,cope,対処する／うまくやる,He struggled to cope with the stress.,彼はストレスへの対処に苦労した。
225,recognize,認識する,It is important to recognize the efforts of the team.,チームの努力を認識することが重要です。
226,broaden,広げる,They want to broaden their market reach.,彼らは市場の範囲を広げたいと考えています。
227,reduce,減少させる,The medicine will reduce the pain.,その薬は痛みを減少させます。
228,include,含む,The report will include all relevant details.,その報告書にはすべての関連情報が含まれます。
229,validate,正当化する,We must validate our approach with data.,私たちはデータでアプローチを正当化しなければなりません。
230,overlap,重なる,Our opinions overlap in many areas.,私たちの意見は多くの点で重なっています。
231,explain,説明する,Can you explain the process again?,もう一度手順を説明してくれますか？
232,assign,割り当てる,The manager will assign the new task tomorrow.,マネージャーは明日その新しい仕事を割り当てます。
233,strive,努力する,You should strive to achieve your goals.,目標を達成するために努力すべきです。
234,gather,集める,Let’s gather information first.,まず情報を集めましょう。
235,sense,感知する,She could sense the tension in the room.,彼女は部屋の緊張を感じ取った。
236,appraise,評価する,We need to appraise the value of this project.,このプロジェクトの価値を評価する必要があります。
237,strengthen,強化する,This will strengthen our position.,これで私たちの立場は強化されます。
238,vital,重要な,It is vital to stay calm.,冷静でいることが重要です。
239,support,支援する,We came to support our friend.,私たちは友人を支援しに来ました。
240,halt,停止する,The machine will halt automatically.,機械は自動で停止します。
241,advise,助言する,He came to advise me on the matter.,彼はその件について助言しに来ました。
242,fortify,強化する,This move will fortify our defenses.,この動きで防御が強化されます。
243,twist,歪める,He tried to twist the facts.,彼は事実を歪めようとした。
244,articulate,はっきり話す,She can articulate her ideas clearly during meetings.,彼女は会議中に自分の考えを明確に話すことができる。
245,mediate,仲介する,He was asked to mediate the dispute between departments.,彼は部門間の争いを仲裁するよう頼まれた。
246,infer,推測する,"From the tone of her voice, we can infer she is upset.",彼女の声の調子から、怒っていると推測できる。
247,refrain,控える,Please refrain from using your phone during the lecture.,講義中に携帯電話を使うのは控えてください。
248,authorize,許可する,The director authorized the use of company funds.,取締役は会社の資金使用を許可した。
249,exaggerate,誇張する,Don’t exaggerate the problem—it’s not that serious.,問題を誇張しないで、それほど深刻ではないよ。
250,speculate,推測する,They speculated about the cause of the delay.,彼らは遅延の原因について推測した。
251,simplify,簡素化する,We need to simplify the instructions for users.,ユーザーのために手順を簡単にする必要がある。
252,provoke,引き起こす,His comment provoked an angry response.,彼のコメントが怒りの反応を引き起こした。
253,implement,実行する,The company plans to implement new policies.,会社は新しい方針を実施する予定だ。
254,comply,従う,All employees must comply with safety regulations.,全従業員は安全規則に従わなければならない。
255,interpret,解釈する,How do you interpret this data?,このデータをどう解釈しますか？
256,interact,交流する,Children learn best when they interact with others.,子供は他人と交流するときに最もよく学ぶ。
257,alleviate,和らげる,The medicine helped to alleviate the pain.,その薬は痛みを和らげるのに役立った。
258,subsidize,補助金を与える,The government subsidizes public transportation.,政府は公共交通機関に補助金を与えている。
259,viable,実行可能な,This plan is not economically viable.,この計画は経済的に実行可能ではない。
260,deteriorate,悪化する,Her health deteriorated quickly.,彼女の健康は急速に悪化した。
261,trigger,引き金になる,Stress can trigger headaches.,ストレスは頭痛の引き金になることがある。
262,tedious,退屈な,The lecture was long and tedious.,その講義は長くて退屈だった。
263,mandatory,義務的な,Wearing a seatbelt is mandatory.,シートベルトの着用は義務である。
264,apprehensive,不安な,I'm apprehensive about tomorrow’s exam.,明日の試験が不安だ。
265,hinder,妨げる,The rain hindered our progress.,雨が私たちの進行を妨げた。
266,elaborate,詳しく述べる,Can you elaborate on your proposal?,あなたの提案について詳しく説明してもらえますか？
267,plausible,もっともらしい,His excuse sounded plausible.,彼の言い訳はもっともらしく聞こえた。
268,redundant,冗長な／余分な,The report was full of redundant information.,その報告書は冗長な情報でいっぱいだった。
269,morale,士気,Team morale is high after the recent victory.,最近の勝利でチームの士気が高まっている。
270,consensus,合意,The committee reached a consensus.,委員会は合意に達した。
271,skeptical,懐疑的な,I'm skeptical about that claim.,私はその主張に懐疑的だ。
272,thrive,成功する／繁栄する,Small businesses can thrive in this area.,この地域では小規模ビジネスが繁栄できる。
273,competent,有能な,She's a highly competent engineer.,彼女は非常に有能なエンジニアだ。
274,abrupt,急な,The meeting ended abruptly.,会議は急に終わった。
275,genuine,本物の／誠実な,He gave a genuine apology.,彼は心からの謝罪をした。
276,controversial,論争の的になる,That law is highly controversial.,その法律は非常に論争の的になっている。
277,compromise,妥協する,They finally compromised after long talks.,長い議論の末、彼らはついに妥協した。
278,optimistic,楽観的な,She remains optimistic about the future.,彼女は未来について楽観的である。
279,designate,指定する,This area has been designated as a national park.,この地域は国立公園に指定された。
280,affiliation,提携、所属,He had no political affiliation.,彼には政治的な所属はなかった。
281,asset,資産、有用なもの,His language skills are a valuable asset to the company.,彼の語学力は会社にとって貴重な資産だ。
282,belated,遅れた、遅延した,I sent her a belated birthday card.,彼女に遅れて誕生日カードを送った。
283,candid,率直な、遠慮のない,She gave a candid response to the question.,彼女はその質問に率直に答えた。
284,compulsory,強制的な、義務的な,Wearing a helmet is compulsory in this area.,この地域ではヘルメットの着用が義務だ。
285,conceal,隠す、秘密にする,He tried to conceal his disappointment.,彼は失望を隠そうとした。
286,contempt,軽蔑、侮辱,She looked at him with contempt.,彼女は彼を軽蔑の目で見た。
287,discipline,規律、しつけ,Good discipline is essential in a classroom.,教室では良い規律が不可欠だ。
288,eradicate,根絶する,The disease was eradicated from the region.,その病気は地域から根絶された。
289,meticulous,几帳面な、細心の注意を払う,She is meticulous about her work.,彼女は仕事に対してとても几帳面だ。
290,persevere,粘り強く続ける,He persevered despite many obstacles.,彼は多くの障害にもかかわらず粘り強く続けた。
291,prone,〜しがちな,He is prone to making careless mistakes.,彼は不注意なミスをしがちだ。
292,refute,反論する、否定する,The scientist refuted the theory with new evidence.,その科学者は新しい証拠で理論を否定した。
293,retrieve,取り戻す,She was able to retrieve the deleted files.,彼女は削除されたファイルを取り戻すことができた。
294,robust,頑丈な、強い,This laptop has a robust design.,このノートパソコンは頑丈な設計になっている。
295,spontaneous,自然発生的な、自発的な,The applause was spontaneous.,拍手は自然に起こった。
296,withstand,耐える、持ちこたえる,This material can withstand extreme temperatures.,この素材は極端な温度に耐えられる。
297,allege,主張する、断言する,The suspect is alleged to have stolen the car.,容疑者はその車を盗んだと主張されている。
298,amend,修正する,The contract was amended to reflect the new agreement.,契約は新たな合意を反映するよう修正された。
299,applaud,称賛する、拍手する,The audience applauded the speaker's efforts.,聴衆は講演者の努力を称賛した。
300,attrition,自然減、摩耗,Many employees left through attrition.,多くの従業員が自然減で退職した。
301,banish,追放する,He was banished from the kingdom.,彼はその王国から追放された。
302,blunder,重大なミス,He made a huge blunder in the report.,彼は報告書で重大なミスを犯した。
303,boast,誇る、自慢する,He boasted about his promotion.,彼は昇進について自慢した。
304,brace,備える、覚悟する,We need to brace for the upcoming storm.,これから来る嵐に備える必要がある。
305,cite,引用する、言及する,She cited several studies in her paper.,彼女は論文でいくつかの研究を引用した。
306,coerce,強制する、強いる,They were coerced into signing the agreement.,彼らは合意書に署名するよう強制された。
307,concede,認める、譲歩する,He conceded that he was wrong.,彼は自分が間違っていたことを認めた。
308,contemptuous,軽蔑的な,She gave him a contemptuous look.,彼女は彼に軽蔑的な視線を向けた。
309,daunt,ひるませる,The challenges did not daunt her.,その困難は彼女をひるませなかった。
310,debris,がれき、破片,The debris from the explosion was scattered everywhere.,爆発の破片があちこちに散らばっていた。
311,defy,逆らう、反抗する,She defied the expectations of others.,彼女は他人の期待に逆らった。
312,derail,脱線させる,The scandal could derail his career.,そのスキャンダルは彼のキャリアを脱線させかねない。
313,dismantle,分解する、取り壊す,They dismantled the old factory.,彼らはその古い工場を取り壊した。
314,disrupt,混乱させる、妨害する,The protest disrupted the meeting.,抗議活動が会議を妨害した。
315,encompass,含む、取り囲む,The course encompasses various topics.,その講座はさまざまなトピックを含んでいる。
316,entail,伴う、必要とする,This job entails a lot of responsibility.,この仕事には多くの責任が伴う。
317,exacerbate,悪化させる,The new rule only exacerbated the problem.,新しい規則は問題を悪化させただけだった。
318,heed,注意を払う,You should heed your teacher’s advice.,先生の助言に注意を払うべきだ。
319,immerse,浸る、没頭する,She immersed herself in studying.,彼女は勉強に没頭した。
320,valid,有効な,Your passport is not valid anymore.,あなたのパスポートはもう有効ではありません。
321,forecast,予測する,Experts forecast heavy rain tomorrow.,専門家は明日大雨を予測している。
322,counterpart,対応するもの,His counterpart in Japan is fluent in English.,日本の彼の同職は英語が堪能だ。
323,widespread,広範囲にわたる,The disease became widespread across the country.,その病気は国内に広く広がった。
324,deprive,奪う,The accident deprived him of his sight.,その事故で彼は視力を失った。
325,temporary,一時的な,The store is closed due to temporary maintenance.,店は一時的なメンテナンスのため閉店中です。
326,fraud,詐欺,The company was involved in a financial fraud.,その会社は金融詐欺に関与していた。
327,verify,確認する,Please verify your email address.,メールアドレスを確認してください。
328,suppress,抑える、鎮圧する,The police tried to suppress the protest.,警察は抗議活動を鎮圧しようとした。
329,foster,促進する、育てる,The program aims to foster creativity in children.,そのプログラムは子どもの創造性を育てることを目的としている。
330,absurd,ばかげた,It's absurd to think that money solves all problems.,お金がすべての問題を解決するという考えはばかげている。
331,jeopardize,危険にさらす,His actions could jeopardize the entire project.,彼の行動はプロジェクト全体を危険にさらす可能性がある。
332,subtle,微妙な、かすかな,The perfume has a subtle scent of jasmine.,その香水はジャスミンのほのかな香りがする。
333,undermine,弱体化させる,His constant criticism undermined her confidence.,彼の絶え間ない批判が彼女の自信を損なった。
334,obscure,不明瞭な、曖昧な,The meaning of the text was obscure.,その文章の意味は曖昧だった。
335,weary,疲れた、うんざりした,She felt weary after the long meeting.,長い会議の後で彼女は疲れていた。
336,indulge,甘やかす、ふける,He occasionally indulges in luxury desserts.,彼は時々贅沢なデザートにふける。
337,resent,憤慨する、腹を立てる,He resented being treated unfairly.,彼は不公平な扱いに腹を立てた。
338,distract,気をそらす,The noise distracted me from studying.,騒音で勉強に集中できなかった。
339,hostile,敵意のある,The villagers were hostile to outsiders.,村人たちはよそ者に敵意を持っていた。
340,withdraw,撤退する、引き出す,The troops were ordered to withdraw from the region.,部隊は地域からの撤退を命じられた。
341,embrace,受け入れる、抱きしめる,She embraced the new culture with enthusiasm.,彼女は新しい文化を熱意を持って受け入れた。
342,overwhelm,圧倒する,She was overwhelmed by emotion.,彼女は感情に圧倒された。
343,contaminate,汚染する,The river was contaminated with chemicals.,川は化学物質で汚染されていた。
344,restore,修復する、回復させる,The government plans to restore the historic building.,政府はその歴史的建造物を修復する予定だ。
345,acknowledge,認める、受け入れる,She acknowledged her mistake.,彼女は自分のミスを認めた。
346,agenda,議題,The manager distributed the agenda before the meeting.,マネージャーは会議の前に議題を配布した。
347,approximate,おおよその,The approximate cost is around $500.,おおよその費用は約500ドルです。
348,benefit,利益,All employees benefit from the new policy.,すべての従業員が新しい方針の恩恵を受ける。
349,cancel,取り消す,The flight was canceled due to bad weather.,悪天候のためフライトはキャンセルされた。
350,complaint,苦情,He filed a complaint about the poor service.,彼は悪いサービスについて苦情を申し立てた。
351,comprehensive,包括的な,We need a comprehensive report on the project.,そのプロジェクトに関する包括的な報告が必要だ。
352,conference,会議,She is attending a business conference in New York.,彼女はニューヨークでビジネス会議に参加している。
353,contract,契約,They signed a three-year contract yesterday.,彼らは昨日、3年間の契約を結んだ。
354,deduct,差し引く,Taxes will be deducted from your salary.,税金は給料から差し引かれる。
355,delivery,配達,The package is scheduled for delivery tomorrow.,その荷物は明日配達予定です。
356,eligible,資格がある,Only full-time staff are eligible for the bonus.,フルタイムのスタッフだけがボーナスの対象です。
357,expense,費用,We must reduce unnecessary expenses.,不要な費用を削減しなければならない。
358,feedback,意見,The manager asked for feedback on the new system.,マネージャーは新しいシステムについての意見を求めた。
359,financial,財政の,They are facing financial difficulties.,彼らは財政的な困難に直面している。
360,invoice,請求書,Please send the invoice to our accounting department.,請求書を会計部に送ってください。
361,postpone,延期する,The meeting was postponed until next week.,会議は来週まで延期された。
362,productivity,生産性,New software has improved productivity.,新しいソフトウェアで生産性が向上した。
363,proposal,提案,He submitted a proposal for the new project.,彼は新しいプロジェクトの提案を提出した。
364,quotation,見積もり,We received a quotation from the supplier.,仕入先から見積もりを受け取った。
365,recommendation,推薦,The committee accepted her recommendation.,委員会は彼女の推薦を受け入れた。
366,reduction,削減,The company plans a 10% cost reduction.,会社は10％のコスト削減を計画している。
367,reminder,催促、リマインダー,This is a reminder to submit your report.,これはレポート提出のリマインダーです。
368,reschedule,スケジュールを変更する,Can we reschedule the meeting for Friday?,会議を金曜日に変更できますか？
